id,owner_name,spec_name,brand_name,series_name,model_name,outer_color_name,guide_price,bare_car_price,settlement_price,sale_price,sale_price_finance,intended_landing_price,sku_tag,energy_type,is_virtual_source,in_store_insurance,can_issue_vat_invoice,sale_status,memo,sku_picture,is_deleted
59,杭州即享信息技术有限公司,中规,奥迪,奥迪Q5 e-tron,奥迪Q5 e-tron 2024款 50 e-tron quattro 光耀型 锦衣套装,达摩黑,36.75万,,,,,,,2,0,1,1,0,,,0
60,杭州即享信息技术有限公司,中规,奥迪,奥迪Q5 e-tron,奥迪Q5 e-tron 2024款 50 e-tron quattro 光耀型 锦衣套装,达摩黑,36.75万,,,,,,,2,0,1,1,0,,,0
61,山东易驾通汽车服务有限公司,中规/国产,奥迪,奥迪A4L,奥迪A4L 2025款 40 TFSI 时尚动感型,阿科纳白,28.98万,,,,,,,1,0,1,1,0,,,0
62,杭州即享信息技术有限公司,中规,奥迪,奥迪Q5 e-tron,奥迪Q5 e-tron 2024款 50 e-tron quattro 光耀型 锦衣套装,达摩黑,36.75万,,,,,,,2,0,1,1,0,,,0
63,钱钱钱12,中规,奥迪,奥迪A5L,奥迪A5L 2026款 2.0T 燃擎星驰版,红,28.58万,30000000,32110000,39000000,41000000,39950000,,1,1,1,1,1,,,0
64,飞书2121,中规,爱驰,爱驰U5,爱驰U5 21款 U5 SE,皓月银,16.69万,10000000,10030000,12000000,13000000,,,1,1,1,1,1,,,0
65,飞书,中规,阿维塔,阿维塔12,阿维塔12 2026款 改款 Ultra 双电机纯电版,云紫,32.39万,20000000,20030000,23000000,24000000,25000000,,2,1,1,1,2,,,0
100,杭州猛禽汽车有限公司,中规,比亚迪,宋PLUS DM-i,比亚迪 宋PLUS DM-i 2025款 DM-i 110KM 旗舰型,雪域白,16.98万,14980000,14980000,15880000,15680000,,,2,0,1,1,1,家用SUV首选亏电油耗4.5L,,0
101,杭州猛禽汽车有限公司,中规,比亚迪,宋PLUS DM-i,比亚迪 宋PLUS DM-i 2025款 DM-i 150KM 旗舰型PLUS,时光灰,17.98万,15980000,15980000,16880000,16580000,,,2,0,1,1,1,长续航版满油满电续航1200km+,,0
102,成都超有爱科技有限公司,中规,比亚迪,秦PLUS DM-i,比亚迪 秦PLUS DM-i 2025款 DM-i 55KM 领先型,玄空黑,9.98万,8980000,8980000,9280000,9180000,,,2,0,1,1,1,销量冠军家轿标杆亏电油耗3.8L,,0
103,成都超有爱科技有限公司,中规,比亚迪,秦PLUS DM-i,比亚迪 秦PLUS DM-i 2025款 DM-i 120KM 超越型,雪域白,12.98万,11880000,11880000,12180000,11980000,,,2,0,1,1,1,长续航版综合续航1245km,,0
104,山东易驾通汽车服务有限公司,中规,比亚迪,汉EV,比亚迪 汉EV 2025款 创世版 715KM 旗舰型,玄空黑,24.98万,22980000,22980000,23580000,23280000,,,2,0,1,1,1,中大型纯电轿车刀片电池715km续航,,0
105,山东易驾通汽车服务有限公司,中规,比亚迪,海鸥,比亚迪 海鸥 2025款 自由版,极夜黑,7.38万,6680000,6680000,6980000,6880000,,,2,0,1,1,1,微型纯电代步车305km续航城市通勤利器,,0
106,山东易驾通汽车服务有限公司,中规,比亚迪,海鸥,比亚迪 海鸥 2025款 飞翔版,暖阳白,8.58万,7880000,7880000,8180000,8080000,,,2,0,1,1,1,高配版405km续航,,0
107,成都超有爱科技有限公司,中规,比亚迪,海豹,比亚迪 海豹 2025款 700KM 长续航版,海冰蓝,21.98万,19980000,19980000,20880000,20580000,,,2,0,1,1,1,纯电轿跑CTB车身一体化后驱操控,,0
108,成都超有爱科技有限公司,中规,比亚迪,唐DM-i,比亚迪 唐DM-i 2025款 DM-i 冠军版 112KM,山脉灰,19.98万,17980000,17980000,18880000,18580000,,,2,0,1,1,1,7座中型SUV综合续航1100km,,0
109,成都超有爱科技有限公司,中规,比亚迪,元PLUS,比亚迪 元PLUS 2025款 510KM 超越型,探险绿,14.98万,13480000,13480000,13980000,13680000,,,2,0,1,1,1,紧凑型纯电SUV刀片电池510km续航,,0
110,山东易驾通汽车服务有限公司,中规,比亚迪,驱逐舰05,比亚迪 驱逐舰05 2025款 DM-i 55KM 豪华型,雪域白,10.18万,9180000,9180000,9580000,9480000,,,2,0,1,1,1,海洋网家轿综合续航1245km,,0
111,深圳前海卓展汽车贸易有限公司,中规,特斯拉,Model 3,特斯拉 Model 3 2025款 后轮驱动版,星空灰,23.55万,22550000,22550000,22990000,22690000,,,2,0,1,1,1,纯电轿车标杆CLTC续航634km Autopilot,,0
112,深圳前海卓展汽车贸易有限公司,中规,特斯拉,Model 3,特斯拉 Model 3 2025款 长续航全轮驱动版,珍珠白,28.55万,27550000,27550000,27990000,27690000,,,2,0,1,1,1,CLTC续航713km双电机全轮驱动,,0
113,深圳前海卓展汽车贸易有限公司,中规,特斯拉,Model Y,特斯拉 Model Y 2025款 后轮驱动版,星空灰,26.35万,25350000,25350000,25890000,25590000,,,2,0,1,1,1,全球销冠SUV空间大实用性强CLTC续航554km,,0
114,深圳前海卓展汽车贸易有限公司,中规,特斯拉,Model Y,特斯拉 Model Y 2025款 长续航全轮驱动版,珍珠白,30.35万,29350000,29350000,29890000,29590000,,,2,0,1,1,1,CLTC续航688km双电机四驱5秒破百,,0
115,杭州猛禽汽车有限公司,中规,理想,理想L6,理想 L6 2025款 Pro,灰色金属漆,24.98万,23980000,23980000,24480000,24180000,,,2,0,1,1,1,家庭智能SUV综合续航1390km大五座,,0
116,杭州猛禽汽车有限公司,中规,理想,理想L6,理想 L6 2025款 Max,绿色珍珠漆,27.98万,26980000,26980000,27480000,27180000,,,2,0,1,1,1,高阶智驾版AD Max城市NOA,,0
117,成都超有爱科技有限公司,中规,理想,理想L7,理想 L7 2025款 Pro,白色,30.98万,29980000,29980000,30180000,29980000,,,2,0,1,1,1,旗舰级家庭SUV魔毯空气悬架后排娱乐屏,,0
118,成都超有爱科技有限公司,中规,理想,理想L7,理想 L7 2025款 Ultra,黑色,36.98万,35980000,35980000,36180000,35980000,,,2,0,1,1,1,满配版AD Max+双电机四驱+空气悬架,,0
119,凯迪生态环境科技股份有限公司,中规,理想,理想L8,理想 L8 2025款 Ultra,金色,36.98万,35980000,35980000,35880000,35680000,,,2,0,1,1,1,六座旗舰SUV双电机四驱空气悬架+CDC,,0
120,凯迪生态环境科技股份有限公司,中规,理想,理想L9,理想 L9 2025款 Ultra,紫色,42.98万,41980000,41980000,41880000,41680000,,,2,0,1,1,1,全尺寸六座旗舰SUV后排冰箱+彩电+大沙发,,0
121,深圳前海卓展汽车贸易有限公司,中规,小鹏,小鹏P7,小鹏 P7 2025款 702长续航 Ultra,星云灰,21.99万,20990000,20990000,21290000,21090000,,,2,0,1,1,1,XNGP全场景智驾800V超快充轿跑颜值,,0
122,深圳前海卓展汽车贸易有限公司,中规,小鹏,小鹏P7,小鹏 P7 2025款 610四驱性能 Max,暗夜黑,25.99万,24990000,24990000,25290000,25090000,,,2,0,1,1,1,双电机四驱3.9秒破百XNGP智驾,,0
123,深圳前海卓展汽车贸易有限公司,中规,小鹏,小鹏G6,小鹏 G6 2025款 755超长续航 Max,星云白,20.99万,19990000,19990000,20290000,20090000,,,2,0,1,1,1,中型纯电SUV800V超快充755km续航,,0
124,深圳前海卓展汽车贸易有限公司,中规,小鹏,小鹏G9,小鹏 G9 2025款 702超长续航 Max,暗夜黑,26.99万,25990000,25990000,25990000,25790000,,,2,0,1,1,1,旗舰SUV800V超快充双腔空气悬架,,0
125,杭州猛禽汽车有限公司,中规,小鹏,小鹏MONA M03,小鹏 MONA M03 2025款 620超长续航版,星瀚米,13.58万,12580000,12580000,12880000,12680000,,,2,0,1,1,1,年轻化纯电轿跑620km续航高性价比,,0
126,成都超有爱科技有限公司,中规,蔚来,蔚来ET5,蔚来 ET5 2025款 75kWh,云白,29.80万,28800000,28800000,28990000,28790000,,,2,0,1,1,1,高端智能电动轿跑换电3分钟双电机360kW,,0
127,成都超有爱科技有限公司,中规,蔚来,蔚来ET5,蔚来 ET5 2025款 100kWh,星灰,35.60万,34600000,34600000,34790000,34590000,,,2,0,1,1,1,长续航版100kWh电池续航710km,,0
128,成都超有爱科技有限公司,中规,蔚来,蔚来ES6,蔚来 ES6 2025款 75kWh,深空黑,33.80万,32800000,32800000,32590000,32490000,,,2,0,1,1,1,高端中型SUV换电+超充双模式NIO Pilot,,0
129,成都超有爱科技有限公司,中规,蔚来,蔚来ES6,蔚来 ES6 2025款 100kWh,南极星蓝,39.60万,38600000,38600000,38390000,38290000,,,2,0,1,1,1,长续航版双电机四驱NAD自动驾驶,,0
130,山东易驾通汽车服务有限公司,中规,领克,领克08 EM-P,领克 08 EM-P 2025款 245超长续航 Halo,曜日银,20.88万,19880000,19880000,19980000,19880000,,,2,0,1,1,1,智能电混SUV综合续航1400km Lynk Co-Pilot,,0
131,山东易驾通汽车服务有限公司,中规,领克,领克08 EM-P,领克 08 EM-P 2025款 120长续航 Pro,暗夜黑,18.58万,17580000,17580000,17680000,17580000,,,2,0,1,1,1,标准续航版CMA架构,,0
132,山东易驾通汽车服务有限公司,中规,领克,领克07 EM-P,领克 07 EM-P 2025款 长续航 Pro,白色,16.98万,15980000,15980000,16280000,16080000,,,2,0,1,1,1,中型电混轿车综合续航1200km+,,0
133,山东易驾通汽车服务有限公司,中规,领克,领克07 EM-P,领克 07 EM-P 2025款 长续航 Halo,曜日银,18.98万,17980000,17980000,18280000,18080000,,,2,0,1,1,1,高配版哈曼卡顿音响AR-HUD,,0
134,深圳前海卓展汽车贸易有限公司,中规,极氪,极氪001,极氪 001 2025款 YOU版 100kWh,电光蓝,30.00万,29000000,29000000,29290000,29090000,,,2,0,1,1,1,猎装轿跑双电机400kW3.8秒破百,,0
135,深圳前海卓展汽车贸易有限公司,中规,极氪,极氪001,极氪 001 2025款 WE版 100kWh,极夜黑,26.90万,25900000,25900000,26190000,25990000,,,2,0,1,1,1,单电机长续航版741km续航,,0
136,深圳前海卓展汽车贸易有限公司,中规,极氪,极氪007,极氪 007 2025款 四驱智驾版,皎月白,22.99万,21990000,21990000,21990000,21890000,,,2,0,1,1,1,纯电轿车800V平台充电15分钟续航500km,,0
137,深圳前海卓展汽车贸易有限公司,中规,极氪,极氪007,极氪 007 2025款 后驱智驾版,星云灰,20.99万,19990000,19990000,19990000,19890000,,,2,0,1,1,1,NZP高速领航性价比之选,,0
138,杭州猛禽汽车有限公司,中规,问界,问界M5,问界 M5 2025款 增程 Max 后驱版,松霜绿,24.98万,23980000,23980000,23980000,23880000,,,2,0,1,1,1,华为智选鸿蒙座舱综合续航1400km+,,0
139,杭州猛禽汽车有限公司,中规,问界,问界M5,问界 M5 2025款 纯电 Max 四驱版,陶瓷白,28.98万,27980000,27980000,27980000,27880000,,,2,0,1,1,1,纯电版华为ADS2.0高阶智驾,,0
140,成都超有爱科技有限公司,中规,问界,问界M7,问界 M7 2025款 增程 Max 六座,鎏金黑,28.98万,27980000,27980000,27880000,27780000,,,2,0,1,1,1,华为智选六座SUV零重力座椅鸿蒙座舱,,0
141,成都超有爱科技有限公司,中规,问界,问界M7,问界 M7 2025款 增程 Max 五座,深空灰,26.98万,25980000,25980000,25880000,25780000,,,2,0,1,1,1,五座版超大后备箱空间,,0
142,凯迪生态环境科技股份有限公司,中规,长安,长安深蓝S7,长安 深蓝S7 2025款 620Max 纯电版,月岩灰,17.99万,16990000,16990000,16990000,16890000,,,2,0,1,1,1,中型纯电SUV620km续航AR-HUD,,0
143,凯迪生态环境科技股份有限公司,中规,长安,长安深蓝S7,长安 深蓝S7 2025款 200Max 增程版,星云青,15.99万,14990000,14990000,14990000,14890000,,,2,0,1,1,1,增程版综合续航1120km,,0
144,凯迪生态环境科技股份有限公司,中规,长安,长安启源A07,长安 启源A07 2025款 真香版 710 纯电,雪域白,15.99万,14990000,14990000,14990000,14890000,,,2,0,1,1,1,中大型纯电轿车710km续航无框车门,,0
145,凯迪生态环境科技股份有限公司,中规,长安,长安启源A07,长安 启源A07 2025款 真香版 200 增程,修竹青,13.99万,12990000,12990000,12990000,12890000,,,2,0,1,1,1,增程版综合续航1200km,,0
146,山东易驾通汽车服务有限公司,中规,长城,哈弗H6,哈弗 H6 2025款 第三代 1.5T 自动两驱Max,汉密尔顿白,11.59万,10590000,10590000,10890000,10690000,,,1,0,1,1,1,国民SUV销冠L2辅助驾驶,,0
147,山东易驾通汽车服务有限公司,中规,长城,哈弗H6,哈弗 H6 2025款 第三代 2.0T 自动四驱Supreme,星云灰,14.89万,13890000,13890000,14190000,13990000,,,1,0,1,1,1,2.0T四驱版博格华纳四驱系统,,0
148,山东易驾通汽车服务有限公司,中规,长城,坦克300,坦克 300 2025款 2.0T 挑战者,黑凤梨,19.98万,18980000,18980000,18980000,18880000,,,1,0,1,1,1,硬派越野SUV非承载式车身三把锁,,0
149,山东易驾通汽车服务有限公司,中规,长城,坦克300,坦克 300 2025款 2.0T 征服者,灰太浪,21.68万,20680000,20680000,20680000,20580000,,,1,0,1,1,1,高配版前桥差速锁+后桥差速锁,,0
150,成都超有爱科技有限公司,中规,丰田,凯美瑞,丰田 凯美瑞 2025款 双擎 2.0HE 精英版,铂金珍珠白,17.98万,16980000,16980000,16980000,16880000,,,2,0,1,1,1,混动中级车标杆油耗4.2L/100km,,0
151,成都超有爱科技有限公司,中规,丰田,凯美瑞,丰田 凯美瑞 2025款 双擎 2.5HE 豪华版,墨玉蓝,21.18万,20180000,20180000,20180000,20080000,,,2,0,1,1,1,2.5L混动JBL音响TSS3.0智行安全,,0
152,成都超有爱科技有限公司,中规,丰田,RAV4荣放,丰田 RAV4荣放 2025款 双擎 2.5L 四驱精英Plus版,墨渊黑,23.38万,22380000,22380000,22380000,22280000,,,2,0,1,1,1,混动四驱SUV E-Four电四驱油耗5.1L,,0
153,杭州猛禽汽车有限公司,中规,吉利,吉利星越L,吉利 星越L 2025款 2.0TD 高功自动两驱旗舰型,极光银,16.82万,15820000,15820000,16120000,16020000,,,1,0,1,1,1,紧凑型SUV2.0T+8AT CMA架构,,0
154,杭州猛禽汽车有限公司,中规,吉利,吉利星越L,吉利 星越L 2025款 智擎 1.5TD 混动天宫版,玄武灰,17.37万,16370000,16370000,16670000,16570000,,,2,0,1,1,1,混动版油耗4.3L综合续航1300km,,0
155,杭州猛禽汽车有限公司,中规,吉利,吉利博越L,吉利 博越L 2025款 1.5TD 尊贵型,猎户银,12.57万,11570000,11570000,11870000,11670000,,,1,0,1,1,1,紧凑型SUV高通8155芯片L2辅助驾驶,,0
156,深圳前海卓展汽车贸易有限公司,中规,大众,迈腾,大众 迈腾 2025款 380TSI 尊贵版,幻影黑,22.69万,21690000,21690000,21990000,21790000,,,1,0,1,1,1,德系B级轿车标杆2.0T+7DSG旅行辅助,,0
157,深圳前海卓展汽车贸易有限公司,中规,大众,迈腾,大众 迈腾 2025款 300TSI 领先版,极地白,18.69万,17690000,17690000,17990000,17790000,,,1,0,1,1,1,1.5T入门版性价比之选,,0
158,深圳前海卓展汽车贸易有限公司,中规,大众,途观L,大众 途观L 2025款 380TSI 四驱R-Line智享版,铂光银,24.08万,23080000,23080000,23380000,23180000,,,1,0,1,1,1,德系中型SUV4Motion四驱IQ.Light矩阵大灯,,0
